,comments
36,"Man his experience at Blizzard is identical to the experience of working for EB Games... The only times they fight to keep you was when you tried to leave and it would be offers of 3 - 3.5% increase to base salary but the field I&#39;m in, the market rate is literally 79% higher than they were offering... As well as them having a super toxic leadership body. My first job hop from them was 32% increase to what they gave me and I went on to get poached twice more. I&#39;m now leading a team + 245% increase to what I was on working with them and the work is EASIER because the leadership LISTENS.<br><br>A lot of the decisions made came down to: Well the analysts are all saying do X and we&#39;ll improve our position but my gut says do this instead so I&#39;m going to.<br>Surprise pikachu face doesn&#39;t remotely cover their shock at shit not working."
37,"I had work with a guy, this person always try gain my trust. And for my experience, if someone  really wants your trust, don&#39;t trust them. <br>But the way he tries, is always tell me small part of high level meetings, try make  me feel also important. <br>And what he does is in the wrong way as possible. <br>One time he told me what a guy told to HR when he left the company. <br>This conversation with HR, should be confidential, HR never should pass this information forward. <br>And he never, never told me about the conversation. <br>I know how frustrating the guy was with the company, why he  left the company.  What he told about other guy. <br>HR is not your friend, they are trained sons...<br>They will lie to you without any hesitation <br>Everything tell to HR will use against you"
38,"holy fuck, this is wild to listen to"
39,"For those that don&#39;t know about California, it&#39;s a shithole state that nobody can afford to live in. Don&#39;t go live here. Don&#39;t visit here."
40,"Wait, I thought he left because they never made a formal contract for his position change. They can&#39;t enforce a NCC he did not sign. What in the f-"
41,&quot;You get festering pockets&quot;<br><br>I think you&#39;re describing an abscess. Or possibly a cyst. Which is a pretty apt description of middle-management.
42,@48 mins now I understand why you said you were an experienced cage fighter on linked in.
43,On several occasions I had devs contact me in QA and they were genuinely trying to resolve an issue i reported with the game. And every time the devs trying to communicate got in trouble because managment demanded that QA be isolated from the rest of the company
44,They had to ban Gallows humor at Activision because everyone in QA was coping with so much &quot;I&#39;d rather be dead&quot; &quot;kill me now&quot; comments that it actually was making managment uncomfortable.
45,Passion creates good products.  MBAs only take and creates collapses.  Our power as consumers is simply to only promote the passionate.  Boycott the MBAs!
46,Thor used Bifrost.  No way :P
47,Sounds so much better at 0.75 speed. Plus I get more time to enjoy this.
48,"So in the USA, and UK, you cannot contact away your rights, in the US you can get a noncompete claws that says you cannot open a business in this field for x years, but thay cannot stop you from opening a business period. And in 99% of those cases there is a question if the companys practices and methods are used, there was a case from Pappa John&#39;s and a local pizza place in my home town of a cook opening a pizza restaurant, but it was found that not of Pappa jons &quot;protected practices&quot; were infringed on cus the dude made entirely different styles of pizza and Cal zones, so now pappajhons has the pappadea"
49,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=887"">14:47</a> that makes a lot of sense, so I wonder wtf happened with Starfield."
50,"Was not the round layoffs Microsoft did mostly QA?<br><br>Watching this I am so glad I live where I live, yes we have issues in Norway, but it&#39;s incredibly difficult to fire someone on the spot and have them leave on the same day, unless you have done something illegal (and even then it can be hard) it&#39;s really hard to fire someone, and if you do you need a good reason and a 3 month notice (at the minimum)."
51,&quot;weird military brochacho shit&quot; 😂
52,"A little late to the party but this was exactly my experience from my time at IBM. It&#39;s so unbelievably similar that hearing this legit caused an anxiety spike that I haven&#39;t had in a long, long time. I swear, the next person who says &quot;boil the ocean&quot; is getting their teeth knocked out."
53,US Labor Laws need a massive overhall and/or employee rights and protections massively expanded.
54,HR clearly didn’t know what was up 😂
55,"&quot;HR is there to protect the company&quot;<br><br>Universally true but I e found at small companies where HR is often handled by the accountant etc, you either get someone who is worse than corporate HR, or someone really looking out for the team. Ive never had a bad experience with the second type but you should still always work with them as if theyre not an ally of its something big."
56,"I think the Jeff Kaplans, Ben Brodes and Miyazakis of the world shouldn&#39;t have to worry about profit. The people who hire them and assign them to direct the projects are the ones who should worry about profit.<br><br>The decision to put Miyazaki in charge on more soulslikes at From goes like this: &quot;This guy LOVES something that we think will be profitable. Let HIM be the one who does it.&quot;"
57,I always hated those task lists with the end being something like leave the room because technicallt you should have done all the steps up to that point before leaving...<br><br>They want you to leave the room but technically thats not what they asked you.
58,I didn’t know who mike was
59,"In respect to HR.. i&#39;m living and working in Denmark.. HR are only there for you as long as the cost of your problem are less than the cost of letting you leave..<br><br>Unions are there for you, we have no minimum wages but we still got higher lowest wage jobs than US, because of Unions.. we got around 12 month of maternity leave pr kid where both parents got mandated a big part of it, we got 5-6 weeks paid vacation a year, and we are not dependent on a job for good healthcare and unemployment benefits are liveable, in general we got a trial period of 3 month, here they can fire you for many things but they still need to have some basis for it.. you can also just quit without notice.. after the periode they need to have a good reason to kick you out or pay your next 3 month full salary..<br><br>I got a panic attack at my former job where i dropped and broke parts for 250k dkk, that was enough to fire me, but i still got the 3 month paid salary.. 😅 sick leaves are not a reasonable ground to fire you even after 6-12 month, but the government also pay most of the salary back.."
60,Sorry i dont trush him truth will come out soon
61,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=1333"">22:13</a> HR for the company? Absolutely."
62,sounds familiar my uncle worked in Kaufland in the butcher/freeze departmend and then they wanted to reduce the departmend they invited the whole departemend and in a room and got 5 &quot;lawyers! talking to them to quit themself and the people all quit because they talked them into it. my uncle is very pissed about that now because then he didint knew that he would get a extraction paymend if he didnt signed the shit himself.
63,"To be perfectly honest, there is some magic in how Blizzard handled things and one should take a lot of advice from their direction. Even if some of it doesn&#39;t match how some people think things should be done nowadays.<br><br>Blizzard is still the golden standard that created unforgettable games that we love. Never downplay the machine of that. You don&#39;t know what parts of it were critical to the whole."
64,"In 2009 living in southern California was not that bad when it came to rent and buying. It sucked if you&#39;re one of the victims of 2008 housing market crash. Other than that 1500+ were luxury rentals. Just google 2009 average rent and its around $800. You could rent a house around 1,000-1,200 during that time that was in a decent neighbor hood."
65,"in the uk, you need to work somewhere for2 years before you have basically any rights... but non-compete&#39;s are not enforcable."
66,The part about not being rockstars the devs are is so much like Amazon most GMS won&#39;t say it out loud to everyone in those Fulfillment centers (which I currently work at) but ours said it to all of everyone in Inbound and said &quot;You guys make us lose money we make no money from you guys which is why we don&#39;t give you as much time off and more mandatory overtime so outbound can make us money&quot; like shit that part that Thor talked about made me remember that whole talk our building gm gave and it sucks so much
67,I guess a tacobell dorito locos tacos buttplug is roughmanly
68,"There&#39;s qa, and then there&#39;s qa devs. There&#39;s a huge difference between the two. Either way, qa should be paid well, they&#39;re so so vital.<br><br>I&#39;ve always argued that every developer is QA. You have to do the testing yourself and everything. Otherwise you just pass off turds."
69,Capitalism is working though...
70,Why ppl put he/him in bio? ppl still bending over for that kind of thing?
71,&quot;you are an adult if you can say &#39;yeah sure&#39; and people know you mean &#39;fuck off&#39;&quot;
72,How is this shit legal? Don&#39;t you have labour law?
73,reminds me of my teachers in highschool on their exams that would give clear directions to just put your name on the paper and turn it in. Not many people can follow simple directions.
74,LOL
75,LOL
76,Thor is taking me back to the bad place with this reminiscing.  I’m delighted that Thor learned all the right lessons from our experience and is making such a great difference in the industry.  What a class act.
77,I’m currently a qu at a very prestigious company and I felt every single thing here man..<br><br>I have a fucking computer science degree and I get treated like shit even tho I’m constantly pulling all nighters bc I would never make deadlines otherwise.<br><br>All I want is to get out and move to dev bc not only would that essentially double my salary but maybe I wouldn’t feel like the lowest guy on the totum poll
78,Played d2 for thousands of hours d3 was pretty good not nearly as replayable in my opinion. Didn&#39;t even bother with d4 heard microtransactions were involved and just assumed it was a cash grab. Wish they made a d2 style game but 20 or 30 acts instead of 5 id play that forever. Lord of destruction could be a seasonal or yearly release instead of a 1 time expansion.
79,"Be a slave or be fired! Only the board members matter, not the product, not the morals, not the customer. Gotta love Citizens United. United as a corp and anything less isn&#39;t a Real citizen. Just human serfs..."
80,This was a common test for first year lab students to assure we didn&#39;t fail to follow directions and cause a fire or something. This sounds like almost the exact task we were given in college.
81,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=583"">9:43</a> That sounds just like racism!"
82,"I have heard the QA stories, but CS was the true red headed step child of bliz"
83,"The more i hear about Companies there, the more im happy to live in a country with proper labor laws"
84,"What he should of done was Contact ACAS (Advisory, Conciliation and Arbitration Service).<br><br>Filing the complaint does nothing, The investigator is raised and paid by the employer, therefore is complicit with the employer and is therefore a conflict of interest."
85,I&#39;ve heard from the managers themselves that this stopped happening quite a while back. I used to work as a gm myself around 2018.If you tried to contact the higher ups as a game master you would be doing nothing other than messaging the managers so I don&#39;t know when the practice stopped or if the game masters ever had access to Mike Morhaim but I doubt even the current devs have access to the higher ups at this point. They would probably talking to some manager about the situation. I don&#39;t recommend working for Blizzard unless you&#39;re desperate for work in which case have your resume going around and find a better place to work.
86,if stalin ran a game company
87,This guy has to go to court for this he will win so big
88,Whiney men who never worked a real day in their life complaining like women is so 2024
89,They are talking about warcraft 1-2 like it was bigger than Nintendo at that time
90,You&#39;re insane if you think $10.50/he was bad for a 20 something in the 90s. California was/is the problem.
91,This is why I stopped supporting western video games.
92,"At least in Belgium (probably EU &amp; probably UK), any activated non compete is paid in full for its duration."
93,"Ouch. That story about &quot;Go home. And you&#39;re taking tomorrow off too.&quot; one about 19 minutes in hits way too close to home. I&#39;ve honestly found if I get used to like a 70+ hour work week, once I finish that big push and get time to relax at all... I don&#39;t know what to do with myself. I can&#39;t relax at that point, it&#39;s just frustrating to not be productive at all hours of the day, playing a game to relax just feels stressful because nothing is getting done. So yeah, I get it, probably more than I&#39;d like to.<br><br>For the rest of it before that though, the thing about blizzard having lost the magic, but having been the reason why you got into programming? Yeah. Blizzard was my main thing too, it&#39;s why I became a game dev, and yet, by the time I actually got to be a dev... Blizzard had already fallen. It&#39;s sad to think of it, but I would have done anything 20 years ago to work at Blizzard. If they offered me a job today, I would not only say no, I&#39;d laugh in their face and say oh heeeeell no, and I&#39;d record it and blast it out on every social media I could find. It&#39;s... kinda painful to realize that in the time it took for me to get the skills I needed, the thing I aspired to just basically withered and died in the meantime.<br><br>But that&#39;s why I make my own stuff now. The industry changed a lot after WoW proved you could make more money than most countries&#39; national GDP, and large corporations started trying to chase that in the way they normally do without understanding that bringing quality content works better than leaving behind a dried up, empty husk of a game studio.<br><br>...I&#39;m already ranting here as it is, on a month old video so no one&#39;s going to see this anyway, but yeah, if you&#39;re here, why not - a personal story: when I was working at Spicy Rocket, my boss learned EA was responsible for screwing over like half of his favourite game franchises by purchasing them, firing the &quot;expensive&quot; people who knew what they were doing, and then having people buy the next 2 or so installments which degraded in quality rapidly, and they kept doing it. This is how I got an addition to my contract that explicitly stated that if EA ever purchased us, no one else, just EA specifically, then all of our intellectual property immediately gets handed over to me personally, along with enough money to restart the company under a new name so I could re-hire everyone on the old team back. Never happened, and due to a... terrible issue that is its own story, the studio went under shortly after, but it amuses me to this day that I explicitly had a &quot;fuck you EA&quot; clause in my contract.<br><br>...If only Blizzard had the same thing for when Activision bought them. Alas, hindsight is 20/20. All you can do is make your own studio and make something great instead today instead of mourning what once was. Shame it&#39;s not that easy in practice, but it&#39;s either that or just accept game development as a concept is dead, and I&#39;m not willing to concede that point, and thankfully many others don&#39;t seem to be either."
94,For the record: I subbed because this video! This should be a mandatory watch before starting the work market!
95,I listen to you guys while coding lol
96,"I originally clicked the video because I thought this was the Rollercoaster Tycoon guy. Still fantastic information. <br><br>I personally quit a job where I was promised a promotion for months and wasn&#39;t given it. I then told upper management if I wasn&#39;t given the promised promotion by a certain day that I would quit. When that day rolled around after my shift ended I walked to my boss and handed her my notice of resignation. She continued to give me promises it would happen in the future, and was asked to stay. I didn&#39;t.<br><br>I was one of three people left in the department after layoffs and others quitting due to the increased workload. I was pulling 70-80 hour workweeks over the course of six days. I wasn&#39;t asking for a pay raise, as due to the hours I was working I was actually making more than my direct superiors who were technically two levels above me as the middle management position for my department had been open for over a year. I just picked up the work of the management position as I was the best in the department and the most willing to give my time.<br><br>The role I wanted was salaried, and come to find out, where I was at the time had regulations that salaried workers putting in a certain amount of overtime over their salaried hours were required to be fairly compensated. The company just refused to pay that increase, or hire another person to reduce the number of hours I was working as my salary + their pay would have still been more than what they were paying me in overtime. Hourly workers were not given any benefits, but salaried persons were required by law to receive them. The two remaining people came in the next day and handed in their resignations as well because they weren&#39;t going to deal with the company increasing their workload any more as they weren&#39;t willing to do what I was doing, leaving our entire department unstaffed.<br><br>Three months later there was a huge fire as a piece of equipment I was maintaining ended up catching fire because nobody was doing it anymore. I had just done it because the person hired to maintain and clean all the equipment in our department and a few others was laid off because the company figured they could just make the rest of the employees do the job instead of paying someone to do it. The replacements that got moved over from other departments apparently weren&#39;t given a thorough explanation of the cleaning process as on the floor underneath the equipment where it was powered gunk would slowly build up over time and it never got cleaned out. Cleaning that specific area required someone to turn off the machine as it ran at very high temperatures and stayed on 24/7. Cooling took an hour, and then the whole machine had to be moved. All the internals were easy as you just had to use the machines self cleaning process, so that&#39;s probably all that was done every day. In the end the company had to end up temporarily shut down the whole location, losing millions in revenue, and pay hundreds of thousands in machines and repairs just because they refused to hire more people or just pay more to promote me.<br><br>Corporations are bad because you aren&#39;t anything to them. The job of a publicly traded corporation is to spend as little as possible while taking as much money as possible from consumers. You don&#39;t pay a nice person forty million a year because they will end up costing the company more money in being nice to employees. Instead you hire a douchebag for sixty million a year because they will save the company eighty million by making the most ruthless and predatory decisions possible."
97,"As a kid that&#39;s what I wanted as well was to grow up to be a game dev maybe for blizzard.  I&#39;m glad it didn&#39;t work out yikes.  It&#39;s pretty sad the only job I&#39;ve ever been treated decent was a warehouse job sigh.  Why do bosses have to be jerks?  Happy workers get more done I&#39;m convinced of it.  As long as there is a culture of working not screwing around.  I think bosses being tyrants makes people resentful and sluggish on purpose.  <a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=1500"">25:00</a> I remember being downgraded at my job to make room for a new person to do what I had been doing.  Then that person left after about 6 months and after about 9 months I was getting in trouble for not doing the things I used to do that I was now expected to do at my lower rate/status untold."
98,"Thank you for sharing your insights. Hearing these stories helps everyone find their voice to advocate for themselves, whatever their job may be."
99,"Halfway houses are for any half living arrangements<br> Ex prisoners.<br>Drug Addicts.<br>Alcoholics. <br>Battered women, but never battered men ....<br>And a few others, but each individual building has its own purpose. You wont ever see the alkys with the battered women or the prisoners....there is no crossover at locations."
100,Can someone send this to asmond gold he needs to see this video so bad
101,All of this is exclusive to America btw
102,"I work at Amazon in Logistics. Too many problems for a YouTube comment, but us employees cannot trust anyone. Management is constantly asking us to do things either illegal or against company policy that could lead to immediate termination if anyone saw. And are constantly asking us to put our jobs and safety at risk to make their day easier or state we are being insubordinate and will take us to HR (they are friends with HR). <br><br>I fight the best I can using as much policy and law to defend to help improve myself and coworkers situation until I can finally get out. There are a lot of bad situations. I plan to be the most professional and constant pain in their ass while always being in the right"
103,This was such a good video
104,"I think the main takeaway from this is definitely that a Good boss will make you unstoppable, and a terrible boss will make you wanna comit die."
105,"For anyone who doesn&#39;t know, California is this large geopolitical entity on the left side of the continental United States of America."
106,"Its not just programming, you guys just described every factory I&#39;ve ever worked in, except they try to pay you even less and you WRECK your body along with your selfesteem"
107,"I mean, at this point, Blizzard is synonymous with poor working conditions, sexual assault, and employees drinking breast milk.<br><br>The studio has a huge staff but somehow manages to make very few games.<br><br>It has a lot of cultural problems and those problems come from the employees.<br><br>It sucks that a lot of people lost their jobs, but there were a lot of people there who were part of that toxic culture who needed to go. I&#39;m sure a bunch of people lost their jobs who weren&#39;t part of that, but... I don&#39;t know in what universe Blizzard could have avoided a mass layoff.<br><br>Overwatch 2 has failed to deliver really badly. Laying off the team that failed to actually get that game done is... logical?<br><br>Honestly, fixing Blizzard seems like a horrible amount of very unfun work."
108,Why put He/Him on your social media name 😂 you lose credibility with average people at that point
109,"Violence is never the answer but if i got told i could be replaced at any time, Violence wouldve been the answer. The idea that your team is just expendable and unimportant is why ive never played a blizzard game, never going to or play one again. And its a shame because i did like the little bit diablo 3 i tried. But all this came out around the time i borrowed it from my dad"
110,"If you think QA has it bad, try to be in CS, where everybody only treats you as a cumulative of cost"
111,"as funny as it is, wanting to work for blizzard was the reason i pushed myself to graduate, i got an in and worked for a year in reception, when i tried to move to become a gm i ended up getting really sick, instantly got let go and got black barred from coming back. really rough, totally taught me how &quot;companys&quot; truly worked."
112,"I love that they talk about the influence of a manager is,. I had a breakdown at work and if it was not for the manager saying go home and see a doctor I would have crashed and lost my job. I went back into the job 7 weeks later a total different person. Thanks J Walters for being that manager who understood."
113,Stop interrupting. Jesus
114,"Without QA, the devs are nothing. From the gamer side, if QA doesn&#39;t get paid properly to do a good job, the game will fail, complaints will abound, and the devs won&#39;t have anything but more issues as well. They can be rock stars, sure, but without a good sound team, a rock star is just standing on a stage not being properly heard by anyone. [This is not a rag on devs themselves. It&#39;s a rag on the managers who think this way and companies who treat QA like they&#39;re easily replaceable]."
115,"If you have QA unionization... developers turn into the QA team.<br>Developers arent good at QA... and with QA responsibilities they also wont be very good developers either.<br>They will be stricken with burn out, fatigue, and stress which will obfuscate their ability to do their job effectively<br><br>Yes, QA is important TO CONSUMERS. QA is not important to companies who have no penalty for low quality product releases.<br>If they have the ability to push out untested/poorly tested products and have their consumers do the QA testing for them for no cost... they will just do that."
116,"man i love his voice.....<br>i know people talk tons of trash about ASMR NOW (today/modern asmr)<br>ONLY because they weren&#39;t even aware that it was a thing BEFORE it was<br>given a name by some random woman - before it was called &quot;ASMR&quot; it was<br>just random videos uploaded with random noises &quot;to go to sleep to.&quot;<br>or &quot;relaxing sounds&quot;<br>i highly doubt he&#39;d do a video but i&#39;d kill to watch him Code a simple project,<br>mini game, could be anything, where he switches between 2 audio angles:<br>1) audio focusing entirely on the keyboard sounds<br>2) audio focusing entirely on his voice explaining what each line of code does<br>while the screen shows the code and he can highlight it/talk about it specifically.<br><br>both people in the coding field would enjoy seeing him code, and how he codes<br>as well as people who enjoy &quot;asmr&quot; because he has that deeeep voice for it.<br>he just truly has a one of a kind voice and its extremely relaxing.<br><br>personally, i discovered what later became to be known as &quot;ASMR&quot; two times in<br>my life (childhood and right before middle school, like 5-6th grade) on a field trip.<br>when i was a little kid, my mom would draw on my back to help me sleep, be it<br>symbols or #&#39;s or times tables, and i&#39;d have to guess what it was or the answer.<br>it would send tingles from the top of my head to my toes and put me to sleep.<br><br>the second &quot;finding&quot; of it was on a field trip where a SUPER OLD tour guide woman<br>was speaking in such a slow, southern, soft voice to the point i went from being <br>SUPER energized to being SUPER hypnotized and almost put to sleep standing......<br><br>third time finding it i was roughly late teen early 20, meditation videos and massage therapy.<br>and then i lost the ability to feel the tingles.... then 4-5 years later a woman came out and <br>gave it a &quot;name&quot; -  Autonomous Meridian Sensory Response, aka A S M R.<br>your body&#39;s uncontrollable response to a sound, sounds, voices, actions, etc. to where you<br>get that feel-good tingling sensation in your scalp/back/etc.<br>sadly, it&#39;s been hyper sexualized in a lot of areas.. some got to the point of beingbanned in<br>entire countries (think China/Korea/Japan)"
117,This is melting my mind! WTF!?
118,"The fact that they can enact a non-complete clause for something which they simultaneously argue isn’t a promotion should be illegal. There should be regulations around when they can be enacted, and non-complete shouldn’t be possible for normal employees, which this guy was essentially still."
119,There&#39;s a pretty famous test in school with 100 plus steps... <br>step 1 read all steps<br>step 2 write name in upper left corner<br>...<br>step 99 ignore steps 3-98<br>step 100 turn in paper
120,Thats madness.<br>My night shift bonus is 25% on top of other shift allowances.<br>Same in 2009.<br>.
121,"You keep going back to HR, it bothers me how you miss the obvious. HR is there to protect the company, yeah well that also means they don&#39;t protect most other staff and management. Key HR events in my life: forced management to give raises to junior staff, intervene to protect good manager from bad clique, explained me the real reason I was fired and assured my rights were respected. In each case they protected the company incidentally helping me."
122,I&#39;m not convinced that non compete and they way they used it was legal. This dude needs a labor lawyer. If he has receipts there isn&#39;t much Blizzard can do.
123,This is every call center I&#39;ve ever worked at. Until I found one that actually valued its people. Qa in gaming is the pool where they pull the test of their talent. Every developer I&#39;ve ever talked to started in qa.
124,"AAA high profile job, it genuinely sounds like hell. Yeah you&#39;ll work on high profile stuff but is losing part of your soul and mental health worth it? Considering that the most popular game of this year so far, and hell even last year, was NOT from one of these high profile AAA studios."
125,"That whole &quot;non-compete&quot; for 3 months is unenforceable in the UK if he hasn&#39;t signed a non-compete contract, they can&#39;t just decide that. And even if he did sign a non-compete contract, it can only apply to the same industry, not everything regardless of how it&#39;s worded"
126,amazon has quite a few of these pockets of bad middle managers at individual sites
127,"And after all those fuck ups by Blizzard, they all and many others stayed there..."
128,Dang. I was really interested in this whole story until I saw the pronouns declaration.
129,"I worked as QA for Interplay in 1999, for 3 months. I worked in three different departments, got an email attaboy from Brian Fargo himself after one of my QA reports for Planescape: Torment, and was kicked to the curb two days before I&#39;d been there three months (and would have transitioned to permanent hire), with no explanation ever given. <br><br>Nobody respects QA, least of all the QA managers."
130,Always remember HR isn&#39;t there for you. They are there to save face for the company. They will make you feel good by telling you they will get to the bottom of the matter when in reality you are the bottom of the matter to them and they are planning their qualms with you or your work ethic.
